,CID,SID,target,Efficacy
535,135693575,49713818,1,162.339
538,135693572,49713814,1,120.058
540,135693571,49713813,1,134.399
545,135693568,49713810,1,176.102
551,135693562,49713804,1,99.1235
553,135693561,49713803,1,174.617
982,135616986,49734324,1,151.239
986,135616983,49733401,1,87.8558
997,135616976,49732732,1,141.757
3429,135494311,26756479,1,192.166
5084,135458497,49714988,1,116.515
7611,135419190,50107101,1,135.839
7940,135416477,17510952,1,129.428
8740,135409384,90341836,1,142.96
8923,135403797,26665710,1,147.23
9163,135401484,22416389,1,85.6256
9514,135399235,90340570,1,93.3409
10043,54692791,22405915,1,164.632
10176,54687802,49818799,1,131.168
10292,54685921,50106439,1,105.046
10677,54676228,90341008,1,171.909
10703,54671203,90340791,1,83.1232
10705,54670067,56463574,1,135.838
12449,43834282,50106087,1,44.1773
31225,23675321,855938,1,191.554
42140,16759996,26756527,1,166.732
42238,16759513,26755302,1,147.321
42271,16758830,50104862,1,108.862
42718,16746587,50105834,1,108.599
57365,16189457,24789945,1,104.211
59263,16066636,24708170,1,111.445
60003,16034476,49717113,1,206.195
60152,16034332,49717262,1,80.5301
62679,16031810,24410796,1,105.201
64732,16029699,49720075,1,118.716
65345,16029083,24407759,1,114.703
65350,16029078,49719372,1,82.1702
66673,16027762,49670480,1,148.877
68686,16025782,49719410,1,105.237
68734,16025738,49735552,1,158.281
68753,16025720,49731239,1,196.047
68758,16025716,49719416,1,183.313
69465,16025034,49719977,1,123.586
69686,16024818,49734723,1,133.798
69724,16024782,49719769,1,172.353
70003,16024512,49735878,1,103.432
70233,16024300,49734719,1,144.742
70605,16023927,49734709,1,106.579
71996,16022536,49717246,1,114.622
74163,16020398,24398716,1,88.7033
75263,16019302,49735377,1,141.257
75271,16019295,24397306,1,69.6466
75348,16019227,49677846,1,139.371
75366,16019210,49735092,1,145.241
75435,16019145,49722601,1,106.305
75621,16018967,24396961,1,68.8723
76077,16018545,49722262,1,160.171
76367,16018257,49730922,1,129.802
77067,16017628,49722812,1,76.3532
77122,16017588,24395495,1,76.6022
77125,16017586,24395493,1,78.1334
77132,16017582,24395489,1,76.511
77152,16017564,24395471,1,86.7134
77154,16017563,24395470,1,88.1887
77156,16017562,24395469,1,119.988
77162,16017558,24395465,1,81.562
77165,16017556,24395463,1,83.1754
77169,16017554,24395461,1,69.2692
77176,16017550,24395457,1,84.3648
77200,16017529,24395436,1,115.809
77269,16017472,24395377,1,61.2068
77335,16017410,24395315,1,119.544
77358,16017390,24395295,1,79.9982
77419,16017335,24395239,1,76.0125
77466,16017295,24395187,1,58.1864
77468,16017294,24395185,1,61.3031
77524,16017245,24395124,1,138.148
77679,16017095,24394958,1,132.086
77709,16017064,49722914,1,170.383
77711,16017063,24394924,1,99.6159
77869,16016899,49735407,1,102.422
80129,16014567,49735406,1,105.184
80212,16014492,24392082,1,111.132
80215,16014490,49721931,1,129.31
80345,16014365,24391941,1,106.074
80348,16014363,24391939,1,109.184
80371,16014341,24391911,1,86.9648
80374,16014339,24391909,1,99.6207
80377,16014337,49731810,1,153.141
80381,16014334,24391904,1,96.0178
80404,16014312,49731806,1,179.657
80407,16014310,24391878,1,138.684
80513,16014206,49734488,1,115.569
81653,16013007,49721391,1,125.463
81765,16012896,24389653,1,78.3591
81797,16012865,49721398,1,144.742
81800,16012863,49735064,1,158.539
81865,16012802,49649527,1,113.888
83171,16011553,49677785,1,103.691
83711,16011036,24813385,1,91.2348
83733,16011015,49721002,1,140.251
84421,16010347,49714991,1,133.363
84529,16010221,49735323,1,161.253
85671,16009119,49715232,1,170.686
86017,16008796,24814963,1,94.4631
86090,16008727,49730672,1,101.503
86776,16008078,24384259,1,109.642
86905,16007960,49714679,1,127.532
86949,16007922,24384102,1,83.2156
88088,15995385,49667251,1,197.997
88347,15991471,49714731,1,110.106
88449,15991377,49735979,1,89.3618
88983,15990832,24271560,1,121.544
89102,15990731,49716031,1,164.617
89570,15990274,49731268,1,146.671
89702,15990150,24270771,1,75.5315
91124,15988816,24269054,1,98.0428
92223,15987747,24267460,1,95.1175
92709,15945560,22411897,1,185.259
92714,15945556,22411884,1,194.328
92750,15945519,22411760,1,132.342
92784,15945489,22411723,1,98.0709
92803,15945478,22411708,1,127.421
93996,12006193,17515862,1,157.976
94002,12006189,17515856,1,121.763
94069,12006122,17515709,1,88.2129
94952,12005071,17510013,1,178.677
95064,12004953,24385297,1,115.105
95992,11957723,50107175,1,113.642
96016,11957703,50107063,1,108.036
96024,11957695,50107011,1,121.714
96030,11957689,50106979,1,100.537
96034,11957685,50106967,1,125.066
96057,11957663,90341435,1,122.239
96098,11957617,56463208,1,134.532
96104,11957611,50106601,1,104.759
96144,11957571,50106463,1,88.9252
96165,11957552,50106351,1,104.884
96186,11957527,50106195,1,123.231
96188,11957526,56463746,1,123.01
96197,11957514,50106125,1,117.325
96209,11957503,50106085,1,63.6183
96227,11957479,56463505,1,156.471
96232,11957476,57264300,1,57.9595
96302,11957269,17402049,1,160.341
96425,11949238,26751445,1,105.324
97220,11538542,56463286,1,84.33
97231,11497466,50106617,1,138.086
97366,10695961,50106035,1,141.232
97393,10452020,90340657,1,159.804
97406,10404739,50106655,1,99.8094
97458,10098248,90341787,1,155.714
97467,10047903,50107130,1,104.713
97469,10042240,56463192,1,129.366
97475,10008573,50106130,1,127.285
97494,9951825,50107149,1,128.27
97496,9951033,50105858,1,116.79
97506,9928898,50107227,1,116.653
97564,9859122,855882,1,193.326
97628,9777579,90340932,1,126.516
100708,9601084,50105666,1,119.944
103368,9552079,56324718,1,87.1886
104141,9551187,14737885,1,124.344
104265,9551059,24268993,1,112.353
104293,9551035,24269041,1,93.2898
104634,9550693,14735380,1,122.117
104701,9550626,24269043,1,79.8669
104792,9550532,24416000,1,92.2067
105071,9550252,14732365,1,87.5237
105108,9550215,24417224,1,105.369
105946,9547812,29215979,1,137.416
105950,9547807,29215978,1,102.502
105970,9547783,14728855,1,149.59
105978,9547773,14728950,1,165.445
105980,9547772,14728947,1,135.388
105985,9547769,14728578,1,130.886
105997,9547763,14728662,1,102.015
112391,7411867,14733384,1,113.733
112638,7359933,49715689,1,78.9246
112712,7338255,24270981,1,87.7191
115389,7106794,24269947,1,93.3796
115678,7066849,24269408,1,161.602
115880,6918305,90341411,1,79.9297
119424,6852399,11533000,1,152.892
119440,6852374,11532860,1,149.554
119461,6850813,90341381,1,113.263
120595,6604769,90341147,1,171.2
120601,6604724,90340969,1,110.348
120937,6604165,50106976,1,114.539
120962,6604029,90340950,1,157.137
120975,6603983,11111737,1,125.15
121036,6603792,56463495,1,104.935
121051,6603748,50106389,1,120.999
121070,6603697,90341333,1,89.3892
122585,6506573,24810910,1,95.4685
125750,6450842,26752192,1,164.392
125766,6442840,50106375,1,114.537
126028,6412283,24275667,1,84.6275
127970,6160690,50104602,1,107.088
128233,6105572,90341835,1,85.3778
128362,6096218,14728561,1,142.062
128364,6096216,14728820,1,130.936
128383,6093697,29215588,1,160.007
128403,6091659,26752219,1,203.62
129666,5924208,50104831,1,118.218
133095,5702010,50105807,1,126.127
133748,5480230,26751686,1,188.896
133868,5460033,50106778,1,118.134
135531,5358385,56314649,1,90.1502
135579,5353800,90340996,1,117.188
135589,5353685,90340919,1,144.561
135607,5353432,90341789,1,199.939
135609,5353431,90341543,1,205.697
137114,5329275,90340805,1,166.48
137116,5329255,50107068,1,77.5807
137119,5329098,50107014,1,81.8885
137123,5328807,26756729,1,215.639
137127,5328779,90341519,1,115.551
137130,5328773,50107092,1,97.1841
137133,5328772,50104464,1,93.8218
137136,5328771,50104495,1,110.697
137139,5328770,90341437,1,144.454
137142,5328769,50104466,1,102.385
137145,5328760,90340715,1,114.061
137320,5322407,49716373,1,208.786
137357,5315615,49720336,1,128.22
137364,5314969,29215602,1,94.1046
137366,5314968,14728967,1,93.6361
137369,5314962,14728702,1,125.282
137375,5314955,14728645,1,158.471
137378,5314946,14728920,1,124.62
137391,5312137,50106863,1,83.6148
137403,5311501,90341664,1,99.4218
137420,5311346,90341744,1,178.11
137437,5311211,26754843,1,163.477
141157,5291322,24272413,1,60.6097
141203,5289501,90341737,1,130.25
141213,5288209,90341414,1,127.593
141332,5283389,90341148,1,124.865
141353,5282443,90341007,1,82.3335
141386,5282273,26754696,1,116.834
141429,5281847,90340883,1,161.067
141437,5281787,50106023,1,113.922
141455,5281672,11111488,1,201.43
141459,5281670,855692,1,143.348
141492,5281073,855989,1,165.03
141522,5280934,29215108,1,119.445
141536,5280880,855670,1,213.235
141545,5280795,26754459,1,90.9163
141563,5280569,90340753,1,113.742
141573,5280483,57260130,1,129.417
141582,5280445,11112366,1,118.947
141597,5280343,90341524,1,98.5285
142027,5218788,50104766,1,111.204
143915,5122423,49716645,1,72.7462
146408,4999481,14737227,1,161.768
155740,4615193,90340593,1,163.37
155962,4605800,50106459,1,97.3894
159064,4410429,24269404,1,111.207
161162,4303657,14738134,1,146.84
161418,4293409,49669688,1,190.103
161819,4276699,14728653,1,133.121
162273,4256434,22400528,1,133.293
162686,4239764,26751764,1,186.01
163315,4210951,90341705,1,134.882
164903,4137774,14737886,1,129.3
164947,4136409,24415095,1,108.599
165103,4130363,24780464,1,139.607
165709,4109094,24814220,1,118.17
166305,4087630,24814476,1,160.179
166751,4071560,14735254,1,132.231
170285,3870203,90341310,1,135.175
170394,3856780,26755241,1,212.485
170890,3834960,26754463,1,193.173
173947,3718599,24274698,1,117.528
174877,3676837,49735399,1,138.887
176892,3590106,24272841,1,100.389
177721,3553766,14731963,1,172.4
178050,3538866,22400633,1,125.447
179385,3470195,24814511,1,109.919
180932,3392731,50104932,1,121.897
181796,3340026,14728800,1,124.97
183003,3276862,24269056,1,103.152
183213,3265247,24414108,1,73.1012
186491,3242943,4248931,1,150.696
187029,3242332,4248228,1,148.373
188085,3241141,4246853,1,108.773
192194,3236544,4241589,1,165.374
206202,3101682,26664787,1,121.925
206811,3035523,90341324,1,173.444
206839,3033832,56322618,1,113.189
206906,3006531,26752095,1,170.514
206918,3003565,50104779,1,97.253
206929,3001055,90341455,1,106.96
210992,2979626,24416848,1,88.846
213289,2963467,24787546,1,108.013
223118,2873634,17412522,1,81.756
231173,2757789,26728623,1,122.841
232068,2733526,26752017,1,133.438
232072,2733525,11112088,1,86.3358
232076,2733517,90341670,1,95.2988
232080,2733514,90341707,1,120.621
232084,2733484,56463490,1,137.171
232763,2723891,56463636,1,145.466
232779,2723601,57260104,1,126.826
233759,2649814,3716471,1,129.665
245692,2366465,26755570,1,123.05
248050,2324077,24830682,1,110.288
253908,2200341,17414161,1,133.574
257112,2137364,24386288,1,81.7379
260971,2083613,24274775,1,106.745
261442,2078331,29215567,1,104.801
261775,2059127,49819042,1,187.588
262117,2053030,49730884,1,141.18
262121,2053022,49716662,1,161.63
262126,2053010,49716651,1,113.81
266718,1820529,17433707,1,183.776
270194,1552993,26666325,1,91.381
270256,1550234,49669123,1,120.105
270282,1549098,26751649,1,122.154
270299,1548887,90341400,1,137.744
271191,1509163,49716783,1,90.422
277662,1386229,49716491,1,157.449
278306,1364727,24273566,1,118.921
278652,1349907,8139973,1,144.355
281337,1294017,14735844,1,112.089
281766,1287647,104219447,1,119.709
282870,1260057,17432197,1,97.5459
285975,1216259,24788165,1,137.408
293124,1042531,14728871,1,141.645
294233,1004085,24274232,1,53.3184
297721,961105,24806588,1,128.783
297762,959599,24276503,1,97.7841
297923,954365,24274771,1,69.523
301690,894140,24274753,1,109.317
301747,893928,24274779,1,105.445
305680,853433,26753017,1,145.296
306449,848257,29215933,1,116.74
307049,843088,29215562,1,110.642
307798,833994,24274967,1,89.0007
307802,833990,24275281,1,97.3298
307808,833976,24274973,1,129.334
308713,824226,29215158,1,107.67
309116,818567,26664748,1,125.23
312385,778235,14722556,1,124.084
316759,736715,90341479,1,132.153
317306,730614,14728873,1,78.7413
318357,719449,4259887,1,134.84
318362,719408,50106749,1,113.608
318577,717857,14729013,1,81.8649
318738,716312,90341733,1,109.45
319170,712926,24803320,1,143.086
319705,708056,24784662,1,121.318
320101,704272,47201318,1,120.372
320177,703638,26664840,1,105.708
320662,698766,7972443,1,147.828
320736,697993,29215119,1,152.133
321426,689043,50104061,1,111.6
323003,667639,26753620,1,184.864
330899,657346,50106127,1,101.657
331889,655278,852641,1,166.82
335795,650512,24271769,1,118.218
339217,646406,26667401,1,246.043
340938,644274,56463282,1,102.228
341172,626461,49669795,1,142.875
341685,610479,855759,1,116.723
341943,602897,14738605,1,159.893
343580,517348,50106934,1,119.382
343691,460612,56463160,1,147.518
343726,457193,26755269,1,114.436
343730,456201,50104728,1,113.551
343761,449241,26755655,1,117.696
343765,449171,26755229,1,177.323
343770,448949,90341740,1,119.083
343783,448042,90340876,1,146.535
343796,446849,56463009,1,144.139
343812,445580,26754928,1,111.14
343815,445227,90340709,1,178.751
343817,445154,90341821,1,67.8981
343824,444899,57261284,1,125.68
343826,444795,50103969,1,105.862
343829,444732,26755795,1,119.571
343839,443955,90341018,1,171.563
343856,443600,90341343,1,78.0523
343866,443372,90341495,1,98.6502
343878,443120,90341786,1,112.558
343977,439280,90340691,1,117.26
343982,439260,29215339,1,182.462
344050,417052,11112540,1,112.641
344748,330500,26731360,1,86.9584
345696,264891,56463053,1,93.6886
345727,262093,56463196,1,139.672
345852,256661,49648059,1,157.767
346147,239844,24838067,1,120.232
346755,204966,26756575,1,186.136
346841,198015,56463029,1,105.252
346868,194216,90340821,1,101.668
346874,192706,26756608,1,150.733
346957,176406,56463193,1,123.636
346981,173870,50106987,1,104.309
346989,172306,56463164,1,164.019
347009,169373,90341239,1,144.505
347047,164676,26753770,1,153.945
347065,161930,50104889,1,97.2986
347096,160436,50106413,1,126.407
347155,154494,50106461,1,114.456
347206,148673,56463457,1,160.292
347385,128355,90341565,1,120.08
347388,128018,90341318,1,165.807
347396,126941,90340825,1,145.036
347464,122634,90341751,1,75.7337
347479,121930,50107046,1,102.351
347532,119565,90341329,1,79.1487
347645,107952,855778,1,107.567
347656,107812,90341055,1,201.695
347659,107794,90341552,1,123.875
347671,107681,90340573,1,148.267
347706,104766,90341793,1,154.905
347708,104762,11532986,1,172.929
347806,99625,50106049,1,123.972
347832,98889,11112498,1,139.057
347962,95168,24823949,1,82.8026
348092,91499,56422461,1,143.183
348213,83823,11532864,1,159.77
348486,73484,49648331,1,124.887
348536,72721,26664480,1,128.641
348566,72276,11112309,1,157.188
348568,72241,90341797,1,146.192
348573,72146,24802176,1,139.08
348632,71478,855591,1,118.145
348650,71405,50106842,1,91.6927
348658,71398,90341429,1,138.636
348682,71077,90341480,1,83.8478
348707,70846,50085911,1,99.7406
348820,68551,50106565,1,114.932
348845,68304,855952,1,162.237
348973,66062,50107199,1,114.533
348981,65999,26719833,1,86.1608
349001,65790,26666291,1,122.706
349045,65340,50106387,1,119.848
349104,64150,50105719,1,64.7206
349145,62920,50106088,1,33.9519
349185,61100,11533068,1,159.599
349250,58258,26719881,1,136.437
349270,56801,26753648,1,113.26
349297,55245,11533034,1,197.256
349309,54562,90341178,1,134.253
349327,53708,90340640,1,115.004
349341,53232,26751557,1,103.358
349356,51082,50106605,1,129.548
349360,51039,29215008,1,108.433
349372,50088,50105962,1,111.416
349416,44093,26751563,1,119.197
349442,42890,50106402,1,121.806
349452,42574,56320813,1,185.508
349471,41114,11533036,1,151.333
349478,40958,90341078,1,142.461
349491,40539,90341112,1,133.935
349522,39562,90341155,1,75.7904
349535,39214,90341805,1,211.841
349550,38853,90341702,1,146.481
349646,34359,50104417,1,97.2771
349677,33032,90340902,1,124.349
349792,28693,90341228,1,145.529
349825,27447,26719711,1,121.747
349832,26964,855739,1,274.231
349886,24360,50104726,1,104.472
349907,23702,856022,1,151.428
349925,23205,26756790,1,195.799
349932,22880,90341063,1,168.046
349946,22576,56463037,1,98.7463
349952,22420,50086596,1,143.92
350143,16960,90341837,1,84.9354
350222,15432,11532955,1,208.889
350263,14562,26664298,1,121.576
350333,12901,7974290,1,126.984
350422,11545,50105912,1,94.8604
350497,10783,90341262,1,199.57
350517,10649,50106101,1,110.382
350567,10206,26755268,1,130.764
350606,9681,90340563,1,151.716
350645,9367,50106453,1,60.0599
350661,9305,26756458,1,174.412
350680,9082,11533072,1,116.792
350685,9064,50105958,1,113.621
350726,8743,90340788,1,153.75
350900,7573,56436647,1,152.086
351000,7108,26752918,1,192.242
351125,6305,90341602,1,106.08
351143,6253,90341066,1,111.515
351153,6240,855926,1,146.254
351155,6239,50106852,1,106.661
351161,6234,90341765,1,219.114
351229,6076,50105813,1,88.6615
351240,6047,11112155,1,226.978
351260,6014,50106751,1,118.632
351282,5983,50106262,1,101.389
351305,5941,50106056,1,134.703
351327,5911,50106173,1,119.04
351342,5887,855749,1,147.305
351405,5770,90341213,1,98.4292
351412,5757,26753051,1,106.965
351442,5730,26752168,1,91.2793
351453,5712,50107164,1,97.6033
351462,5697,90340726,1,77.0226
351479,5639,90341686,1,124.546
351487,5614,50107203,1,105.972
351506,5583,26755046,1,146.581
351519,5566,11110645,1,109.131
351533,5537,26753287,1,227.268
351559,5503,11111870,1,143.354
351583,5455,11532980,1,125.483
351586,5453,57260086,1,118.147
351624,5387,11532931,1,146.137
351650,5342,855982,1,150.827
351657,5336,855656,1,183.726
351711,5233,57264512,1,149.074
351722,5202,90341122,1,137.644
351730,5169,50104791,1,125.621
351737,5154,90340836,1,125.465
351834,4917,855827,1,219.487
351872,4849,56463166,1,107.124
351874,4848,90341394,1,220.077
351915,4781,90341773,1,71.2228
351921,4779,90341481,1,129.124
351934,4760,11532881,1,149.816
351957,4712,26753552,1,122.579
351968,4680,90341237,1,103.506
351980,4652,90340849,1,123.479
351985,4641,56463172,1,126.782
352022,4594,855576,1,143.18
352049,4539,855614,1,100.506
352071,4495,90341133,1,247.44
352086,4485,90341123,1,207.498
352090,4477,90341111,1,89.3477
352095,4472,90341025,1,116.372
352114,4418,90340768,1,162.976
352128,4386,56463797,1,119.982
352138,4362,50106270,1,112.282
352162,4212,11111483,1,187.028
352200,4138,50106598,1,113.328
352216,4106,26751783,1,159.149
352219,4100,11112413,1,134.945
352233,4055,11532917,1,136.017
352237,4053,90341735,1,137.241
352308,3894,26755751,1,214.558
352311,3885,90340897,1,103.151
352314,3883,855954,1,132.169
352327,3857,90341032,1,137.285
352330,3845,90340624,1,140.511
352335,3838,26756742,1,93.9364
352352,3820,50104838,1,118.494
352402,3727,50106371,1,105.344
352411,3712,57260065,1,112.276
352413,3707,90340596,1,96.1772
352417,3698,11112811,1,126.071
352420,3696,90341377,1,117.996
352435,3675,90341694,1,186.615
352461,3637,90341825,1,133.678
352472,3611,26753708,1,146.323
352493,3585,90341031,1,227.921
352505,3542,855933,1,127.379
352511,3519,90341397,1,100.6
352520,3503,90341416,1,141.55
352543,3450,90341095,1,160.083
352553,3442,56463520,1,88.9183
352573,3397,90341271,1,77.4555
352577,3396,90341058,1,92.3289
352594,3372,90341540,1,127.649
352652,3293,11112239,1,182.871
352662,3278,855762,1,138.093
352683,3220,90340961,1,100.231
352686,3213,90341166,1,98.403
352695,3194,50104231,1,94.0463
352722,3136,90340833,1,120.227
352730,3122,90340736,1,96.9294
352735,3117,90340564,1,150.371
352743,3108,855977,1,134.364
352761,3071,26753758,1,108.72
352785,3019,50104671,1,67.782
352805,2990,50106177,1,111.778
352808,2972,8139956,1,127.987
352818,2950,17389963,1,92.1296
352820,2948,26756733,1,181.021
352833,2907,90341534,1,124.626
352880,2788,11112285,1,110.934
352891,2771,855965,1,121.14
352945,2722,24813759,1,123.594
352962,2690,50104939,1,79.6676
352996,2562,90340636,1,114.857
353037,2466,855633,1,215.227
353052,2435,50104157,1,103.276
353059,2396,26751860,1,213.089
353125,2259,50105781,1,121.975
353149,2215,50085845,1,134.034
353155,2202,57260153,1,92.0698
353186,2154,90341578,1,105.672
353189,2153,90341676,1,91.9793
353235,2092,90341616,1,106.074
353247,2071,50104631,1,121.438
353251,2061,50107118,1,107.338
353253,2052,56463456,1,147.863
353296,1967,50104244,1,117.763
353320,1871,90341569,1,122.273
353325,1864,90341208,1,126.781
353346,1826,90340656,1,101.806
353360,1794,50105831,1,96.0766
353384,1734,90341358,1,82.6844
353388,1730,50106032,1,95.6413
353399,1697,90341268,1,88.621
353422,1609,90341353,1,185.649
353425,1607,90341525,1,83.0562
353444,1474,90341834,1,101.875
353466,1365,50105817,1,31.1299
353480,1340,50106466,1,114.328
353483,1330,90340669,1,155.995
353491,1318,90341127,1,155.453
353496,1316,90340886,1,133.626
353508,1245,57264295,1,149.393
353534,1218,90341484,1,138.126
353565,1066,57260132,1,96.0071
353582,1018,57264398,1,125.53
353604,903,50105763,1,105.557
353626,785,50105477,1,109.497
353628,774,90341171,1,129.131
353653,547,90341470,1,133.051
353656,546,90341376,1,125.003
353680,370,17389871,1,184.092
353694,289,90341698,1,142.343
353698,275,90341750,1,105.51
353701,253,14746360,1,177.007
353723,178,50105717,1,40.7439
353727,119,50104376,1,61.7025
